                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.55604,                0.86148,                 1.0279,                0.93823,                 0.9661,                0.98961,                0.85836,                0.50914,                0.96249,                0.95405,               0.000948,               0.000948,               0.000948
                     36,                0.51049,                0.84065,                0.99606,                0.82142,                 0.9381,                0.92628,                0.78416,                0.57409,                 1.1238,                 1.0149,             0.00093385,             0.00093385,             0.00093385
                     37,                0.52102,                0.82219,                 1.0316,                0.83263,                0.90039,                0.90341,                0.75709,                 0.5899,                 1.2075,                 1.0233,              0.0009197,              0.0009197,              0.0009197
                     38,                0.56217,                 0.8336,                 1.0321,                0.86527,                0.89273,                0.94307,                0.83413,                0.48085,                 1.0775,                0.94048,             0.00090556,             0.00090556,             0.00090556
                     39,                0.51119,                 0.8318,                0.99763,                0.95522,                0.91854,                0.97665,                0.86633,                0.47272,                0.94432,                0.92379,             0.00089141,             0.00089141,             0.00089141
                     40,                0.53122,                0.78142,                 1.0098,                0.96455,                0.95661,                  0.986,                0.88604,                0.44092,                0.86876,                0.90517,             0.00087726,             0.00087726,             0.00087726
                     41,                 0.4915,                0.72866,                0.97933,                0.96107,                0.94916,                   0.99,                0.88297,                0.45496,                0.88253,                0.90951,             0.00086312,             0.00086312,             0.00086312
                     42,                0.54921,                0.80635,                  1.031,                0.97313,                0.95994,                 0.9907,                0.88305,                0.45507,                0.86872,                0.91638,             0.00084897,             0.00084897,             0.00084897
                     43,                0.54569,                0.77669,                 1.0486,                 0.9541,                0.97854,                0.98649,                0.89401,                0.42477,                0.88566,                0.90303,             0.00083482,             0.00083482,             0.00083482
                     44,                0.54354,                0.78621,                0.98762,                0.97036,                0.97303,                0.99047,                0.90343,                 0.4086,                0.82231,                 0.8913,             0.00082067,             0.00082067,             0.00082067
                     45,                0.53431,                0.74938,                0.99621,                0.98536,                0.96844,                0.99384,                0.90751,                0.42419,                0.75844,                0.90711,             0.00080653,             0.00080653,             0.00080653
                     46,                 0.4765,                0.68711,                0.98543,                0.99041,                0.99247,                0.99436,                0.91178,                 0.4276,                0.72809,                0.91159,             0.00079238,             0.00079238,             0.00079238
                     47,                0.47201,                0.67253,                 0.9832,                0.97956,                0.97655,                0.99378,                0.91466,                 0.4319,                0.72217,                0.90217,             0.00077823,             0.00077823,             0.00077823
                     48,                0.53755,                0.76206,                 1.0179,                0.98332,                0.98179,                0.99423,                0.91412,                0.42947,                0.72064,                0.89064,             0.00076409,             0.00076409,             0.00076409
                     49,                0.55374,                0.73263,                 1.0256,                0.98727,                0.99104,                0.99344,                0.90793,                0.41934,                0.72037,                0.88127,             0.00074994,             0.00074994,             0.00074994
